alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud,cluster_perfil,consumo_esperado,exceso_consumo,es_anomalia,anomalia_score,diagnostico_final,poblacion_equivalente
ALVARO OBREGON,TORRES SAN ANTONIO (U HAB),0.0918905654251311,Habitacional/Comercial,1,239414.61,232914.02,6500.35,3.0,478829.22,8055.0,29.72248417132216,59.445,87658.61830029657,6.0,0.0,6.0,True,0.93080735206604,Alto,19.3854270373,-99.1953711417,1,73333.16023961816,166081.44976038183,-1,-0.08381646618146521,SOSPECHOSO (Exceso Detectado por IA),497
TLALPAN,BELISARIO DOMINGUEZ,0.2732413472885744,Habitacional/Reserva,0,228562.63,7983.32,216926.41,3.0,457125.26,826.0,276.710205811138,553.4204,3022.9685521483266,3.0,0.0,3.0,True,0.86351919174194,Alto,19.2880231904,-99.1563648369,3,134937.86547389586,93624.76452610415,-1,-0.1754277828586478,SOSPECHOSO (Posible Huachicol),280
AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB),3.709906859268224,Industrial/Comercial,2,446847.34,15248.96,428880.18,3.0,893694.68,386.0,1157.6355958549225,2315.2712,104.04573878605088,123.0,0.0,123.0,True,0.69129711389542,Muy bajo,19.4954686825,-99.1621278578,2,468934.4247499227,-22087.08474992268,-1,-1.0,DEFICIENCIA (Posible Baja Presión o Desabasto),0
CUAJIMALPA,BOSQUES DE LAS LOMAS,1.7883933696057617,Habitacional/Corporativo,1,287134.66,220114.68,62948.2,3.0,574269.32,13359.0,21.4937240811438,42.9874,7469.833106653094,179.0,0.0,179.0,True,0.85614037513733,Medio,19.3922687752,-99.2499781741,1,348731.2787113411,-61596.618711341114,1,0.1360500330635297,DEFICIENCIA (Posible Baja Presión o Desabasto),0
ALVARO OBREGON,FLORIDA,1.1351846203847908,Habitacional/Comercial,1,276625.13,195014.93,73311.07,3.0,553250.26,5140.0,53.8181186770428,107.6362,4527.897848244021,149.0,0.0,149.0,True,0.9797198176384,Muy alto,19.3547466004,-99.1791963565,1,336103.3852506792,-59478.25525067921,1,0.09645938935719439,DEFICIENCIA (Posible Baja Presión o Desabasto),0
AZCAPOTZALCO,SAN PEDRO XALPA (PBLO),0.3377031559519062,Industrial/Comercial,2,247755.17,226845.82,11254.67,3.0,495510.34,10347.0,23.944638059340875,47.8893,30639.334627579145,99.0,0.0,99.0,True,0.87801516056061,Alto,19.4828524204,-99.2068559149,1,446198.865341453,-198443.69534145299,-1,-0.07716132619588745,DEFICIENCIA (Posible Baja Presión o Desabasto),0
AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC (PBLO),1.4535795667697469,Industrial/Comercial,2,240439.14,154014.6,68166.70999999999,3.0,480878.28,9052.0,26.56199072028281,53.124,6227.385281781328,140.0,0.0,140.0,True,0.86524963378906,Alto,19.4981176224,-99.1936733071,1,515045.98123965703,-274606.841239657,-1,-0.02433806800002225,DEFICIENCIA (Posible Baja Presión o Desabasto),0
IZTACALCO,VIADUCTO PIEDAD,0.5807911411129196,Habitacional/Industrial,1,239839.05,170596.43,24580.68,3.0,479678.1,9852.0,24.344199147381243,48.6884,16963.068653425857,106.0,0.0,106.0,True,0.89036411046982,Alto,19.3998972474,-99.1326259542,1,310119.86811460496,-70280.81811460498,1,0.14209480612482267,DEFICIENCIA (Posible Baja Presión o Desabasto),0
IZTACALCO,SANTA ANITA,0.5974287756027854,Habitacional/Industrial,1,227609.87,162727.19,39082.98,3.0,455219.74,11027.0,20.641141742994467,41.2823,18457.43032527037,204.0,0.0,204.0,True,0.80769735574722,Medio,19.3989600376,-99.1191099617,1,302443.3345982999,-74833.46459829988,1,0.13325703644978154,DEFICIENCIA (Posible Baja Presión o Desabasto),0
COYOACAN,PRADO CHURUBUSCO,0.8971628857704076,Habitacional/Comercial,1,213758.09,176657.84,27077.03,3.0,427516.18,10187.0,20.98341906351232,41.9668,11354.682813536436,159.0,0.0,159.0,True,0.91910135746002,Alto,19.3549101493,-99.1239345837,1,331586.6028736918,-117828.51287369183,1,0.1385399791350846,DEFICIENCIA (Posible Baja Presión o Desabasto),0
GUSTAVO A. MADERO,TEPEYAC INSURGENTES,0.8973965224742854,Habitacional/Industrial,1,213349.26,109553.54,64434.25,3.0,426698.52,7337.0,29.078541638271773,58.1571,8175.873001792515,101.0,0.0,101.0,True,0.92701685428619,Alto,19.4787290623,-99.1203791063,1,329968.8473997445,-116619.58739974449,1,0.14681538586561405,DEFICIENCIA (Posible Baja Presión o Desabasto),0
COYOACAN,SANTA URSULA COAPA (PBLO),0.6500349044383744,Habitacional/Comercial,1,197550.25,158952.71000000002,28642.6,3.0,395100.5,10678.0,18.50067896609852,37.0014,16426.81020217786,108.0,0.0,108.0,True,0.80171537399292,Medio,19.3073002154,-99.1461545673,1,306784.7704139338,-109234.52041393379,1,0.12222460537607371,DEFICIENCIA (Posible Baja Presión o Desabasto),0
VENUSTIANO CARRANZA,JARDIN BALBUENA III,1.4412811417675415,Habitacional/Comercial,1,180803.28,136941.23,27915.85,3.0,361606.56,13451.0,13.44162367110252,26.8832,9332.669116522346,241.0,0.0,241.0,True,0.93502187728882,Alto,19.4121541191,-99.112380006,1,352159.11936334777,-171355.83936334777,1,0.08784270332387417,DEFICIENCIA (Posible Baja Presión o Desabasto),0
COYOACAN,INSURGENTES CUICUILCO,0.5863540434504572,Habitacional/Comercial,1,172258.19,116021.38,56236.9,3.0,344516.38,3379.0,50.97904409588636,101.9581,5762.729937216681,115.0,0.0,115.0,True,0.9762070775032,Muy alto,19.3048741178,-99.1827579516,1,326185.19212902547,-153927.00212902547,1,0.0798774237743432,DEFICIENCIA (Posible Baja Presión o Desabasto),0
