alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud
MAGDALENA CONTRERAS,CUAUHTEMOC,0.30128167528666217,Habitacional/Reserva,0,56340.03,39436.71,3692.02,3.0,112680.06,6140.0,9.175900651465797,18.3518,20379.59990151389,16.0,0.0,16.0,True,0.77811270952225,Bajo,19.3196137713,-99.2430083373
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,0.5314228613774901,Habitacional/Rural,0,49815.37,44432.58,3491.21,3.0,99630.74,12885.0,3.8661521148622433,7.7323,24246.22826086379,143.0,0.0,143.0,True,0.81444555521011,Medio,19.3025510161,-99.050322163
TLAHUAC,MIGUEL HIDALGO,0.6997348758410757,Habitacional/Rural,0,46463.57,32811.69,6461.58,3.0,92927.14,10411.0,4.462930554221496,8.9259,14878.49235395915,151.0,0.0,151.0,True,0.76421058177948,Bajo,19.2986040683,-99.0495000838
MAGDALENA CONTRERAS,LA MALINCHE,0.37005172816693704,Habitacional/Reserva,0,46243.14,35319.24,1654.72,3.0,92486.28,10112.0,4.573095332278481,9.1462,27325.909407558,19.0,0.0,19.0,True,0.77764266729355,Bajo,19.3248506758,-99.2411594597
MAGDALENA CONTRERAS,LOMAS QUEBRADAS,0.44702353526580507,Habitacional/Reserva,0,44090.93,37084.05,3422.81,3.0,88181.86,4255.0,10.362145710928319,20.7243,9518.514494924591,2.0,0.0,2.0,True,0.86055564880371,Alto,19.314180324,-99.2432117011
TLAHUAC,AGRICOLA METROPOLITANA,0.35582849195832145,Habitacional/Rural,0,38757.96,34652.61,999.26,3.0,77515.92,9322.0,4.157687191589788,8.3154,26198.014522940157,38.0,0.0,38.0,True,0.71259021759033,Bajo,19.2926523756,-99.0530871146
MILPA ALTA,VILLA MILPA ALTA (PBLO),7.64569964574789,Rural/Reserva,0,38119.770000000004,12350.49,18885.81,3.0,76239.54,19881.0,1.9173970122227255,3.8348,2600.285248068396,63.0,0.0,63.0,True,0.65245872735977,Muy bajo,19.1941117871,-99.0215460346
TLAHUAC,SAN JUAN IXTAYOPAN (PBLO),2.076293160353074,Habitacional/Rural,0,34903.16,24025.03,2919.82,3.0,69806.32,10041.0,3.476064137038144,6.9521,4836.0222880532565,13.0,0.0,13.0,True,0.73205655813217,Bajo,19.2463869834,-98.9978133445
TLAHUAC,LA NOPALERA,0.4190306831274274,Habitacional/Rural,0,33337.62,21827.1,7995.68,3.0,66675.24,6405.0,5.204936768149883,10.4099,15285.276849409705,34.0,0.0,34.0,True,0.79292821884155,Medio,19.2994426896,-99.0521952244
MAGDALENA CONTRERAS,SANTA TERESA,0.22102139836022658,Habitacional/Reserva,0,27109.82,16987.61,5052.46,3.0,54219.64,2439.0,11.115137351373514,22.2303,11035.130616741699,8.0,0.0,8.0,True,0.83081543445587,Medio,19.3092478413,-99.2306942505
